round,group_id,sender,receiver,application-id,amount_send,asset_id_send,amount_received,asset_id_received
27138784,edb8bzUkJEHzGAGgETR351bkYi8M0zDppEcTO4tktHw=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,100000000,0,28631426,312769
27138785,upljvWQuapmQqM+Sj64Ljov59GT7Z4UNdx1tJTmxfLE=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,499998500,0,142952316,31566704
27138785,xN2DANsqw5T30OxNtMOW4SA7+WYYuJLTHrEdhaKgjw4=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,500000000,0,142846101,31566704
27138785,Hnu/ZS2hav1yxtYgDrL8YP3kOwCl+RDG2az1V3aIQXk=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,142768777,31566704
27138785,hYDDIwo4CQ/gYndkKlCdnqkcFpCV9eRy3bqFkI7W3cE=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,ZZJNP4QMRQS5IWRIT57P6RQJ2EPK4LBDWNAUNF7EXOUNZU4BUTDXIDHI6I,613217007,10080085,0,2900670,312769
27138785,TSD99xaSDEX5FsTnZ7kxO+DRSlcU/g+yiaR+oUizEBY=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,GVPDMLD4EUMEE3OPZVP5E6BIETIHDISGVFGGN2IOQJDZEPSPD4KUILB5WA,1002541853,9080085,0,2616637,465865291
27138785,Ms7ASbglDPvuQz620h28I7RaAg2eunKhFIf2ZW35BC4=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,LTGRYWVYIHTMRBESAF6ZJA5JBXR5KPCC6S4T2GDPSEJ5ZHHPIDVDKUJSPE,662102761,18497423,0,243096988,452399768
27138786,ky0Hgy+uceUN/N8rdn+zyMijQsKZZGQxISA8XGuUGa0=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,UO47CTCILYLSKVMDCBGDVV75V74QQQ45YDSGAHEOOBS4NQ7JTZIHMWZYWQ,906655543,2080085,0,159958260,900652777
27138786,LdW0/LkqZyM/Z4D+Jln05qHPAsve0kqD56iYtBUwiWM=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,UFSDSEJIMDSZY6AN2ZWJDJS2YSYVAXDSO5FLJAPCTS2NGRGTAEJDGR34QY,1002541853,5080085,0,1077573,756578163
27138786,9aMRbgWuuc+RAEsUJZzxPKwzVoKpw4j1SAZ27xI/IXM=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,GASYYNLRCSNPPIL6WQJNBP3BTEOYCGDLQZWPHF2IKVNDIWP7RNIPSBKM5Y,1002541853,12080085,0,158756486,452399768
