Binance_ALGOUSDT,timestamp,round:,HUMBLESWAP_ALGOUSDC,pool_size_X,pool_size_Y,round:,HUMBLESWAP_ALGOUSDT,pool_size_X,pool_size_Y,round:,HUMBLESWAP_ALGOgoUSD,pool_size_X,pool_size_Y,round:,PACT_ALGOUSDC,pool_size_X,pool_size_Y,round:,PACT_ALGOUSDT,pool_size_X,pool_size_Y,round:,TINYMAN(v1.1)_ALGOUSDC,pool_size_X,pool_size_Y,round:,TINYMAN(v1.1)_ALGOUSDT,pool_size_X,pool_size_Y
0.2848797133182743,1676931033934,27128458,0.2856426273604904,2915624883393,832826752090,27128458,0.2851747080237265,114961478366,32784106027,27128458,0.2873032375841012,222426155613,63903754631,27128458,0.2856673653219553,1451940751785,414772089166,27128458,0.2905198816093878,17103721,4968971,27128458,0.2830835357989508,924067528144,261588303184,27128458,0.2893615487731281,39253083940,11358333163
0.2848797133182743,1676931035905,27128459,0.2856426273604904,2915624883393,832826752090,27128459,0.2851747080237265,114961478366,32784106027,27128459,0.2873032375841012,222426155613,63903754631,27128459,0.2856673653219553,1451940751785,414772089166,27128459,0.2905198816093878,17103721,4968971,27128459,0.2830835357989508,924067528144,261588303184,27128459,0.2893615487731281,39253083940,11358333163
0.2848974035532906,1676931039584,27128460,0.2856426273604904,2915624883393,832826752090,27128460,0.2851747080237265,114961478366,32784106027,27128460,0.2873032375841012,222426155613,63903754631,27128460,0.2856673653219553,1451940751785,414772089166,27128460,0.2905198816093878,17103721,4968971,27128460,0.2830835357989508,924067528144,261588303184,27128460,0.2893615487731281,39253083940,11358333163
0.2848974035532906,1676931044373,27128461,0.2856426273604904,2915624883393,832826752090,27128461,0.2851747080237265,114961478366,32784106027,27128461,0.2873032375841012,222426155613,63903754631,27128461,0.2856673653219553,1451940751785,414772089166,27128461,0.2905198816093878,17103721,4968971,27128461,0.2830835357989508,924067528144,261588303184,27128461,0.2893615487731281,39253083940,11358333163
0.2848974035532906,1676931048043,27128462,0.2856426273604904,2915624883393,832826752090,27128462,0.2851747080237265,114961478366,32784106027,27128462,0.2873032375841012,222426155613,63903754631,27128462,0.2856673653219553,1451940751785,414772089166,27128462,0.2905198816093878,17103721,4968971,27128462,0.2830835357989508,924067528144,261588303184,27128462,0.2893615487731281,39253083940,11358333163
0.2848974035532906,1676931050461,27128463,0.2856426273604904,2915624883393,832826752090,27128463,0.2851747080237265,114961478366,32784106027,27128463,0.2873032375841012,222426155613,63903754631,27128463,0.2856673653219553,1451940751785,414772089166,27128463,0.2905198816093878,17103721,4968971,27128463,0.2830835357989508,924067528144,261588303184,27128463,0.2893615487731281,39253083940,11358333163
0.2848974035532906,1676931054107,27128464,0.2856970848275691,2915347395276,832906252090,27128464,0.2851747080237265,114961478366,32784106027,27128464,0.2873032375841012,222426155613,63903754631,27128464,0.2856673653219553,1451940751785,414772089166,27128464,0.2905198816093878,17103721,4968971,27128464,0.28323413566273015,923825098171,261658803184,27128464,0.2893615487731281,39253083940,11358333163
0.2849532614210981,1676931058939,27128465,0.2856970848275691,2915347395276,832906252090,27128465,0.2851747080237265,114961478366,32784106027,27128465,0.2873032375841012,222426155613,63903754631,27128465,0.2856673653219553,1451940751785,414772089166,27128465,0.2905198816093878,17103721,4968971,27128465,0.28323413566273015,923825098171,261658803184,27128465,0.2893615487731281,39253083940,11358333163
0.2849532614210981,1676931062864,27128466,0.2856970848275691,2915347395276,832906252090,27128466,0.2851747080237265,114961478366,32784106027,27128466,0.2873032375841012,222426155613,63903754631,27128466,0.2856673653219553,1451940751785,414772089166,27128466,0.2905198816093878,17103721,4968971,27128466,0.28323413566273015,923825098171,261658803184,27128466,0.2893615487731281,39253083940,11358333163
0.2849532614210981,1676931066027,27128467,0.2856970848275691,2915347395276,832906252090,27128467,0.2851747080237265,114961478366,32784106027,27128467,0.2873032375841012,222426155613,63903754631,27128467,0.2856673653219553,1451940751785,414772089166,27128467,0.2905198816093878,17103721,4968971,27128467,0.28323413566273015,923825098171,261658803184,27128467,0.2893615487731281,39253083940,11358333163
